X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
461;334;0.2925306;0.3766325;0.2401828;0.2507185;398.1;0.2057995;False;2026-06-19 9:40:51 AM:16;1781854851016;;
460;330;0.2918951;0.3726652;0.2401819;0.250708;398.5;0.2057804;False;2026-06-19 9:40:51 AM:48;1781854851048;;
460;323;0.2915795;0.364067;0.24291;0.2224226;398.9;0.2017144;False;2026-06-19 9:40:51 AM:86;1781854851086;;
460;317;0.2913453;0.3579697;0.2429119;0.2224379;399.3;0.2017472;False;2026-06-19 9:40:51 AM:120;1781854851120;;
457;317;0.2897611;0.3577933;0.2298726;0.2622743;399.4;0.2028521;False;2026-06-19 9:40:51 AM:152;1781854851152;;
455;317;0.2885798;0.357658;0.2298582;0.2622614;399.5;0.2028335;False;2026-06-19 9:40:51 AM:183;1781854851183;;
452;315;0.2865671;0.3555996;0.2221195;0.2994386;399.4;0.2042736;False;2026-06-19 9:40:51 AM:216;1781854851216;;
452;315;0.2863639;0.3548315;0.2350029;0.2785745;399.3;0.2042889;False;2026-06-19 9:40:51 AM:246;1781854851246;;
449;313;0.284906;0.3534066;0.2221233;0.2994412;399.3;0.2042782;False;2026-06-19 9:40:51 AM:276;1781854851276;;
447;312;0.2834974;0.3521952;0.2213053;0.2971364;399.3;0.1990152;False;2026-06-19 9:40:51 AM:309;1781854851309;;
447;311;0.2832865;0.3513498;0.2350041;0.2670361;399.3;0.199044;False;2026-06-19 9:40:51 AM:339;1781854851339;;
446;308;0.2828032;0.3471429;0.2392719;0.2363739;399.6;0.1997603;False;2026-06-19 9:40:51 AM:371;1781854851371;;
445;306;0.2824273;0.3447475;0.2392324;0.2433789;399.8;0.1997727;False;2026-06-19 9:40:51 AM:402;1781854851402;;
445;300;0.281856;0.338883;0.2432188;0.2161736;400.0;0.1993064;False;2026-06-19 9:40:51 AM:436;1781854851436;;
444;297;0.2814253;0.334578;0.2432193;0.2161799;400.2;0.1993177;False;2026-06-19 9:40:51 AM:465;1781854851465;;
457;295;0.2894551;0.333094;0.3400533;0.2877811;400.8;0.1904778;False;2026-06-19 9:40:51 AM:496;1781854851496;;
465;293;0.2945451;0.330158;0.3339573;0.2252078;401.2;0.1904495;False;2026-06-19 9:40:51 AM:525;1781854851525;;
484;292;0.3069877;0.328839;0.3754134;0.279387;401.3;0.192748;False;2026-06-19 9:40:51 AM:558;1781854851558;;
498;291;0.3154451;0.3278353;0.3753967;0.2793838;401.3;0.1927392;False;2026-06-19 9:40:51 AM:587;1781854851587;;
556;291;0.3522105;0.3278349;0.4789254;0.3278301;401.7;0.1862116;False;2026-06-19 9:40:51 AM:618;1781854851618;;
596;291;0.3778352;0.3278346;0.4789129;0.3278282;402.2;0.1862061;False;2026-06-19 9:40:51 AM:651;1781854851651;;
705;290;0.4470745;0.3269862;0.6022387;0.266597;403.1;0.1808771;False;2026-06-19 9:40:51 AM:686;1781854851686;;
